公司,售電業者,出售單位,發電設備,購買者,成交紀錄
三地怪獸電力股份有限公司,三地能源股份有限公司(台南府城客運屋頂型太陽光電),三地怪獸電力股份有限公司,台南府城客運屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 9.919 MWh
三地怪獸電力股份有限公司,三地能源股份有限公司(台南府城客運屋頂型太陽光電),三地怪獸電力股份有限公司,台南府城客運屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 27.553 MWh
三地怪獸電力股份有限公司,嘉義汽車客運股份有限公司(嘉義客運屋頂型太陽光電),三地怪獸電力股份有限公司,嘉義客運屋頂型太陽光電,台灣普利司通股份有限公司,於 2026-04-15 移轉 34.025 MWh
三地怪獸電力股份有限公司,永樂再生能源有限公司(永樂再生屏東縣萬丹鄉屋頂型太陽光電),三地怪獸電力股份有限公司,永樂再生屏東縣萬丹鄉屋頂型太陽光電,台灣普利司通股份有限公司,於 2026-04-15 移轉 157.661 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬華段地面型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣萬華段地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 36.813 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬華段地面型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣萬華段地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 118.939 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬興段屋頂型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣萬興段屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 29.375 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬興段屋頂型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣萬興段屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 107.034 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣鳳安路屋頂型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣鳳安路屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 32.404 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣鳳安路屋頂型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣鳳安路屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 110.716 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣七塊段地面型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣七塊段地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 20.063 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣七塊段地面型太陽光電),三地怪獸電力股份有限公司,許願樹屏東縣七塊段地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 61.923 MWh
三地怪獸電力股份有限公司,主賞國際有限公司(主賞屏東縣萬丹鄉地面型太陽光電),三地怪獸電力股份有限公司,主賞屏東縣萬丹鄉地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 21.996 MWh
三地怪獸電力股份有限公司,主賞國際有限公司(主賞屏東縣萬丹鄉地面型太陽光電),三地怪獸電力股份有限公司,主賞屏東縣萬丹鄉地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 76.635 MWh
三地怪獸電力股份有限公司,合豐能源股份有限公司(合豐屏東太陽光電案場),三地怪獸電力股份有限公司,合豐屏東太陽光電案場,台灣積體電路製造股份有限公司,"於 2026-05-13 移轉 2,757.583 MWh"
三地怪獸電力股份有限公司,合豐能源股份有限公司(合豐屏東太陽光電案場),三地怪獸電力股份有限公司,合豐屏東太陽光電案場,台灣積體電路製造股份有限公司,"於 2026-05-20 移轉 9,006.674 MWh"
三地怪獸電力股份有限公司,南旭電力股份有限公司(南旭第一期漁電共生太陽光電案場),三地怪獸電力股份有限公司,南旭第一期漁電共生太陽光電案場,台灣積體電路製造股份有限公司,"於 2026-05-13 移轉 2,732.629 MWh"
三地怪獸電力股份有限公司,南旭電力股份有限公司(南旭第一期漁電共生太陽光電案場),三地怪獸電力股份有限公司,南旭第一期漁電共生太陽光電案場,台灣積體電路製造股份有限公司,"於 2026-05-20 移轉 6,298.958 MWh"
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇臺南市新市區屋頂型太陽光電),三地怪獸電力股份有限公司,展昇臺南市新市區屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 31.061 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇臺南市新市區屋頂型太陽光電),三地怪獸電力股份有限公司,展昇臺南市新市區屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 88.429 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉地面型太陽光電),三地怪獸電力股份有限公司,展昇屏東縣高樹鄉地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 6.719 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉地面型太陽光電),三地怪獸電力股份有限公司,展昇屏東縣高樹鄉地面型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-20 移轉 22.577 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉屋頂型太陽光電),三地怪獸電力股份有限公司,展昇屏東縣高樹鄉屋頂型太陽光電,台灣積體電路製造股份有限公司,於 2026-05-13 移轉 17.479 MWh
