出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞銀證券投資信託股份有限公司,太陽能,9,2026,2026-06-02
萬家香醬園股份有限公司,萬家香一期,美商蘋果電子股份有限公司台灣分公司,太陽能,29.254,2026,2026-06-02
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,新加坡商瑞銀證券股份有限公司台北分公司,太陽能,36,2026,2026-06-02
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞士商瑞士銀行股份有限公司台北分公司,太陽能,45,2026,2026-06-02
萬家香醬園股份有限公司,萬家香二期,美商蘋果電子股份有限公司台灣分公司,太陽能,50.711,2026,2026-06-02
萬家香醬園股份有限公司,萬家香三期,美商蘋果電子股份有限公司台灣分公司,太陽能,12.384,2026,2026-06-02
允強實業股份有限公司,斗六二廠,遠東國際商業銀行股份有限公司,太陽能,64,2026,2026-05-27
允強實業股份有限公司,斗六二廠,遠東國際商業銀行股份有限公司,太陽能,100,2026,2026-05-27
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞士商瑞士銀行股份有限公司台中分公司,太陽能,1,2026,2026-05-27
至陽塑膠工業股份有限公司,至陽塑膠工業股份有限公司,富錡企業股份有限公司,太陽能,39.392,2026,2026-05-18
梧濟工業股份有限公司,梧濟工業股份有限公司,安謀國際科技股份有限公司,太陽能,69,2026,2026-05-09
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,安謀國際科技股份有限公司,太陽能,8,2026,2026-05-06
彰源企業股份有限公司,彰源企業-一廠,台灣艾司摩爾股份有限公司,太陽能,224,2026,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,乾坤科技股份有限公司,生質能,"2,100",2026,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台達電子工業股份有限公司,生質能,"6,500",2026,2026-05-05
大光長榮機械股份有限公司,大光,安謀國際科技股份有限公司,太陽能,57,2026,2026-05-05
三榮科技股份有限公司,三榮科技股份有限公司,兆子星營造工程股份有限公司,太陽能,7,2026,2026-04-29
梧濟工業股份有限公司,梧濟工業股份有限公司四期,安謀國際科技股份有限公司,太陽能,18,2026,2026-04-27
梧濟工業股份有限公司,梧濟工業股份有限公司三期,安謀國際科技股份有限公司,太陽能,29,2026,2026-04-27
梧濟工業股份有限公司,梧濟工業股份有限公司二期,安謀國際科技股份有限公司,太陽能,23,2026,2026-04-27
台灣新日化股份有限公司,台灣新日化太陽能發電設備,安謀國際科技股份有限公司,太陽能,59,2026,2026-04-27
維鎮工業股份有限公司,維鎮,香港商雷夫羅倫有限公司台灣分公司,太陽能,42,2026,2026-04-24
強新工業股份有限公司,強新八廠,安謀國際科技股份有限公司,太陽能,36,2026,2026-04-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,中良工業股份有限公司,生質能,30,2026,2026-04-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,元太科技工業股份有限公司,生質能,300,2026,2026-04-14
