出售單位,發電設備,購買者,能源類型,供電種類,總移轉量(MWh),成交日期,成交移轉量(MWh),成交記錄原文
三地怪獸電力股份有限公司,三地能源股份有限公司(台南府城客運屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,37.472,2026-05-13,9.919,於 2026-05-13 移轉 9.919 MWh
三地怪獸電力股份有限公司,三地能源股份有限公司(台南府城客運屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,37.472,2026-05-20,27.553,於 2026-05-20 移轉 27.553 MWh
三地怪獸電力股份有限公司,嘉義汽車客運股份有限公司(嘉義客運屋頂型太陽光電),台灣普利司通股份有限公司,太陽能,轉供,34.025,2026-04-15,34.025,於 2026-04-15 移轉 34.025 MWh
三地怪獸電力股份有限公司,永樂再生能源有限公司(永樂再生屏東縣萬丹鄉屋頂型太陽光電),台灣普利司通股份有限公司,太陽能,轉供,157.661,2026-04-15,157.661,於 2026-04-15 移轉 157.661 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬華段地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,155.752,2026-05-13,36.813,於 2026-05-13 移轉 36.813 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬華段地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,155.752,2026-05-20,118.939,於 2026-05-20 移轉 118.939 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬興段屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,136.409,2026-05-13,29.375,於 2026-05-13 移轉 29.375 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣萬興段屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,136.409,2026-05-20,107.034,於 2026-05-20 移轉 107.034 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣鳳安路屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,143.12,2026-05-13,32.404,於 2026-05-13 移轉 32.404 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣鳳安路屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,143.12,2026-05-20,110.716,於 2026-05-20 移轉 110.716 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣七塊段地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,81.986,2026-05-13,20.063,於 2026-05-13 移轉 20.063 MWh
三地怪獸電力股份有限公司,許願樹科技有限公司(許願樹屏東縣七塊段地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,81.986,2026-05-20,61.923,於 2026-05-20 移轉 61.923 MWh
三地怪獸電力股份有限公司,主賞國際有限公司(主賞屏東縣萬丹鄉地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,98.631,2026-05-13,21.996,於 2026-05-13 移轉 21.996 MWh
三地怪獸電力股份有限公司,主賞國際有限公司(主賞屏東縣萬丹鄉地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,98.631,2026-05-20,76.635,於 2026-05-20 移轉 76.635 MWh
三地怪獸電力股份有限公司,合豐能源股份有限公司(合豐屏東太陽光電案場),台灣積體電路製造股份有限公司,太陽能,轉供,"11,764.257",2026-05-13,2757.583,"於 2026-05-13 移轉 2,757.583 MWh"
三地怪獸電力股份有限公司,合豐能源股份有限公司(合豐屏東太陽光電案場),台灣積體電路製造股份有限公司,太陽能,轉供,"11,764.257",2026-05-20,9006.674,"於 2026-05-20 移轉 9,006.674 MWh"
三地怪獸電力股份有限公司,南旭電力股份有限公司(南旭第一期漁電共生太陽光電案場),台灣積體電路製造股份有限公司,太陽能,轉供,"9,031.587",2026-05-13,2732.629,"於 2026-05-13 移轉 2,732.629 MWh"
三地怪獸電力股份有限公司,南旭電力股份有限公司(南旭第一期漁電共生太陽光電案場),台灣積體電路製造股份有限公司,太陽能,轉供,"9,031.587",2026-05-20,6298.958,"於 2026-05-20 移轉 6,298.958 MWh"
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇臺南市新市區屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,119.49,2026-05-13,31.061,於 2026-05-13 移轉 31.061 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇臺南市新市區屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,119.49,2026-05-20,88.429,於 2026-05-20 移轉 88.429 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,29.296,2026-05-13,6.719,於 2026-05-13 移轉 6.719 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,29.296,2026-05-20,22.577,於 2026-05-20 移轉 22.577 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,77.94,2026-05-13,17.479,於 2026-05-13 移轉 17.479 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣高樹鄉屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,77.94,2026-05-20,60.461,於 2026-05-20 移轉 60.461 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣東港鎮屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,104.818,2026-05-13,22.495,於 2026-05-13 移轉 22.495 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣東港鎮屋頂型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,104.818,2026-05-20,82.323,於 2026-05-20 移轉 82.323 MWh
三地怪獸電力股份有限公司,展昇能源科技有限公司(展昇屏東縣恆春鎮地面型太陽光電),台灣積體電路製造股份有限公司,太陽能,轉供,33.943,2026-05-13,8.477,於 2026-05-13 移轉 8.477 MWh
